#NSGA2
popsize 100
maxGen 20
numVar 8
numObj 3
numCons 7
stateFieldNames	currentGen	evaluateCount	totalTime	firstFrontCount	frontCount	avgEvalTime	
#end


#Generation 1 / 20
currentGen	1
evaluateCount	100
totalTime	55.4563
firstFrontCount	1
frontCount	100
avgEvalTime	0.553326
#end
Var1	Var2	Var3	Var4	Var5	Var6	Var7	Var8	Obj1	Obj2	Obj3	Cons1	Cons2	Cons3	Cons4	Cons5	Cons6	Cons7	
0.560364	0.614306	0.213823	0.546299	0.0468797	0.0244244	0.0592472	0.21277	0.964354	400.218	1250.73	0	0	0	0	0	0	0	
0.896998	0.721549	0.681548	0.560725	0.151253	0.0698972	0.431345	0.0832321	0.925587	450.348	78.9754	0	0	0	0	0	0	0	
0.634452	0.410241	0.659976	0.342404	0.943506	0.635624	0.0523557	0.101483	0.924048	440.8	288.921	0	0	0	0	0	0	0	
0.252583	0.763658	0.884408	0.687834	0.523111	0.462692	0.140363	0.605886	0.977326	435.271	3860.45	0	0	0	0	0	0	0	
0.231363	0.57412	0.82247	0.594641	0.470723	0.582354	0.0602651	0.727507	0.947992	395.941	1190.54	0	0	0	0	0	0	0	
0.812593	0.799003	0.415013	0.695903	0.11532	0.803883	0.191454	0.291155	0.945968	440.262	52.6729	0	0	0	0	0	0	0	
0.971273	0.465612	0.39299	0.343931	0.435167	0.204677	0.326237	0.468903	0.940932	402.44	48.9035	0	0	0	0	0	0	0	
0.50766	0.419864	0.0539057	0.722476	0.192468	0.604194	0.477112	0.299336	0.961079	379.61	1673.66	0	0	0	0	0	0	0	
0.581868	0.993095	0.757312	0.283114	0.0396607	0.0972249	0.5511	0.167335	0.934778	412.771	1307.3	0	0	0	0	0	0	0	
0.712906	0.357447	0.382621	0.954756	0.465089	0.517455	0.930553	0.557823	0.946504	413.998	1859.63	0	0	0	0	0	0	0	
0.248353	0.84592	0.787306	0.353454	0.595082	0.621709	0.513516	0.724081	0.941456	418.586	707.631	0	0	0	0	0	0	0	
0.650312	0.843752	0.913237	0.691188	0.837149	0.666899	0.0268453	0.673662	0.93798	456.95	2059.78	0	0	0	0	0	0	0	
0.401578	0.798616	0.234725	0.219613	0.831457	0.458336	0.768365	0.869564	0.942016	410.742	98.1827	0	0	0	0	0	0	0	
0.402885	0.404725	0.514602	0.556328	0.079892	0.360398	0.147817	0.434676	0.942301	467.074	2179.45	0	0	0	0	0	0	0	
0.164054	0.389834	0.912398	0.46807	0.311675	0.417052	0.75639	0.270248	0.975914	399.44	5289.76	0	0	0	0	0	0	0	
0.548118	0.31392	0.906724	0.981161	0.101486	0.875932	0.118692	0.771994	0.951007	386.545	1779.22	0	0	0	0	0	0	0	
0.713131	0.00900536	0.339585	0.392831	0.703863	0.752215	0.257807	0.658593	0.968969	327.107	239.6	0	0	0	0	0	0	0	
0.750828	0.54034	0.156902	0.756146	0.866664	0.105634	0.68323	0.384339	0.925238	373.621	1570.83	0	0	0	0	0	0	0	
0.132934	0.582309	0.292292	0.599914	0.453023	0.256042	0.382766	0.692283	0.951581	378.142	3635.69	0	0	0	0	0	0	0	
0.0691173	0.931751	0.446707	0.628197	0.623033	0.997707	0.214652	0.550126	0.963558	371.759	2150.32	0	0	0	0	0	0	0	
0.241362	0.928476	0.34916	0.551301	0.702277	0.874178	0.377892	0.672682	0.94458	392.933	3708.44	0	0	0	0	0	0	0	
0.901844	0.0996837	0.957371	0.848891	0.0845223	0.111971	0.303756	0.837205	0.92199	364.769	1142.87	0	0	0	0	0	0	0	
0.629278	0.864832	0.125444	0.542297	0.682966	0.920559	0.688406	0.284361	0.955398	374.318	400.79	0	0	0	0	0	0	0	
0.0513565	0.69966	0.413741	0.324992	0.40781	0.841884	0.0686394	0.861873	0.976964	368.715	4061.28	0	0	0	0	0	0	0	
0.124892	0.704279	0.910878	0.194111	0.985173	0.667981	0.73264	0.131463	0.961671	376.01	997.832	0	0	0	0	0	0	0	
0.278884	0.986611	0.838753	0.835545	0.482813	0.396326	0.190509	0.120221	0.971546	422.811	2932.44	0	0	0	0	0	0	0	
0.79841	0.889841	0.679227	0.17515	0.32454	0.87511	0.180368	0.510363	0.966884	388.99	61.4736	0	0	0	0	0	0	0	
0.400726	0.0364531	0.697625	0.0727214	0.399548	0.574837	0.810045	0.163327	1.00263	374.006	703.741	0	0	0	0	0	0	0	
0.899488	0.917718	0.269827	0.96112	0.958161	0.711264	0.503157	0.836028	0.977192	417.274	365.086	0	0	0	0	0	0	0	
0.736804	0.904427	0.164425	0.824311	0.734528	0.973516	0.752816	0.167198	0.973941	393.427	709.727	0	0	0	0	0	0	0	
0.697007	0.400882	0.918454	0.851557	0.113065	0.102151	0.727197	0.0350675	0.943926	407.671	843.623	0	0	0	0	0	0	0	
0.4679	0.908699	0.18356	0.281255	0.019837	0.35063	0.48797	0.658613	0.992085	399.842	70.3878	0	0	0	0	0	0	0	
0.00723412	0.964499	0.787558	0.804389	0.0293401	0.189691	0.252307	0.943592	0.973333	326.771	534.811	0	0	0	0	0	0	0	
0.331492	0.372782	0.586732	0.579185	0.356178	0.911331	0.195232	0.768089	0.951856	447.827	3401.75	0	0	0	0	0	0	0	
0.185871	0.294498	0.306955	0.248465	0.0269955	0.0574448	0.695783	0.864221	0.96867	452.427	2785.33	0	0	0	0	0	0	0	
0.706611	0.768574	0.28226	0.584076	0.90653	0.0562943	0.680167	0.728906	0.914883	401.367	706.587	0	0	0	0	0	0	0	
0.646029	0.037006	0.998686	0.985961	0.775684	0.710342	0.288436	0.294739	0.942507	331.382	1588.21	0	0	0	0	0	0	0	
