#NSGA2
popsize 50
maxGen 200
numVar 8
numObj 3
numCons 6
stateFieldNames	currentGen	evaluateCount	totalTime	firstFrontCount	frontCount	avgEvalTime	
#end


#Generation 1 / 200
currentGen	1
evaluateCount	50
totalTime	150.842
firstFrontCount	1
frontCount	50
avgEvalTime	3.01493
#end
Var1	Var2	Var3	Var4	Var5	Var6	Var7	Var8	Obj1	Obj2	Obj3	Cons1	Cons2	Cons3	Cons4	Cons5	Cons6	
0.291602	0.291081	0.116122	0.492301	0.731474	0.449335	0.269572	0.212573	0.996571	405.67	2603.36	0	0	0	0	0	0	
0.548638	0.898429	0.963028	0.287575	0.412229	0.959735	0.338417	0.163401	0.987887	404.886	891.058	0	0	0	0	0	0	
0.109307	0.90982	0.12538	0.429965	0.441223	0.0224188	0.462485	0.484603	0.990337	366.697	4081.55	0	0	0	0	0	0	
0.646378	0.795803	0.393942	0.759772	0.480748	0.167549	0.536092	0.472413	0.974682	440.033	1973.95	0	0	0	0	0	0	
0.833166	0.943978	0.212717	0.158609	0.0421276	0.226311	0.954758	0.748919	0.998563	387.388	50.7885	0	0	0	0	0	0	
0.124289	0.909683	0.727221	0.377442	0.788896	0.589953	0.05198	0.328723	0.996763	381.705	1646.69	0	0	0	0	0	0	
0.365671	0.86108	0.957003	0.7726	0.345497	0.356743	0.232699	0.402119	0.993675	423.68	2096.66	0	0	0	0	0	0	
0.897631	0.296476	0.556537	0.104486	0.648997	0.333515	0.146581	0.838311	1.0068	391.081	80.5112	0	0	0	0	0	0	
0.42091	0.701192	0.862595	0.209705	0.293675	0.0962446	0.069406	0.165526	0.987929	395.158	283.402	0	0	0	0	0	0	
0.706696	0.136453	0.983875	0.562359	0.85317	0.970653	0.545296	0.711949	1.00526	394.302	390.963	0	0	0	0	0	0	
0.0978396	0.73959	0.891739	0.683569	0.998332	0.603248	0.84161	0.696447	1.00907	398.844	2803.81	0	0	0	0	0	0	
0.571293	0.813275	0.947809	0.874844	0.888869	0.398756	0.273663	0.978603	0.996039	458.01	2748.46	0	0	0	0	0	0	
0.358976	0.201145	0.279677	0.956341	0.075757	0.472734	0.317334	0.355729	1.00775	414.329	4990.08	0	0	0	0	0	0	
0.605665	0.313682	0.454873	0.164823	0.826686	0.314207	0.619876	0.765001	0.992076	410.598	58.3727	0	0	0	0	0	0	
0.390485	0.924988	0.29008	0.360059	0.770826	0.486096	0.423307	0.370088	0.981262	420.775	178.19	0	0	0	0	0	0	
0.470266	0.587835	0.148655	0.458604	0.451328	0.039886	0.681476	0.323361	0.975831	414.438	190.157	0	0	0	0	0	0	
0.765219	0.102383	0.624176	0.223885	0.0130831	0.92561	0.801164	0.670236	0.984766	376.021	138.553	0	0	0	0	0	0	
0.487121	0.431012	0.909601	0.286678	0.973711	0.352459	0.805126	0.874593	0.996231	436.325	281.192	0	0	0	0	0	0	
0.829114	0.582796	0.277587	0.124388	0.991171	0.00988027	0.63904	0.0146793	0.999159	382.567	56.7291	0	0	0	0	0	0	
0.539832	0.0770954	0.343826	0.432523	0.0537387	0.976656	0.743672	0.300859	0.998249	401.835	358.198	0	0	0	0	0	0	
0.766989	0.702114	0.306727	0.384743	0.664199	0.106672	0.280055	0.761189	0.994899	427.994	32.6908	0	0	0	0	0	0	
0.823948	0.748447	0.0269585	0.874693	0.985089	0.223246	0.837178	0.0698301	1.00004	366.868	915.843	0	0	0	0	0	0	



#Generation 2 / 200
currentGen	2
evaluateCount	100
totalTime	304.337
firstFrontCount	1
frontCount	49
avgEvalTime	3.04664
