#NSGA2
popsize 100
maxGen 20
numVar 8
numObj 2
numCons 6
stateFieldNames	currentGen	evaluateCount	totalTime	firstFrontCount	frontCount	avgEvalTime	
#end


#Generation 1 / 20
currentGen	1
evaluateCount	100
totalTime	526.662
firstFrontCount	1
frontCount	100
avgEvalTime	5.26572
#end
Var1	Var2	Var3	Var4	Var5	Var6	Var7	Var8	Obj1	Obj2	Cons1	Cons2	Cons3	Cons4	Cons5	Cons6	
0.725193	0.156572	0.914266	0.169375	0.411662	0.963546	0.942859	0.303453	248.862	376.473	0	0	0	0	0	0	
0.900348	0.785348	0.58359	0.606947	0.948489	0.86031	0.496468	0.460993	31.3457	456.304	0	0	0	0	0	0	
0.271738	0.419382	0.636526	0.592196	0.355806	0.241973	0.215267	0.735044	3189.54	433.852	0	0	0	0	0	0	
0.914483	0.756114	0.460285	0.796569	0.145303	0.324661	0.596441	0.334626	93.1832	444.465	0	0	0	0	0	0	
0.23381	0.876662	0.418263	0.890541	0.889456	0.835689	0.342825	0.862426	4110.5	407.501	0	0	0	0	0	0	
0.152048	0.687732	0.634515	0.301124	0.959393	0.0659995	0.305728	0.235283	1652.25	391.536	0	0	0	0	0	0	
0.0167818	0.591011	0.375805	0.0128245	0.834487	0.670349	0.560654	0.817681	638.538	357.694	0	0	0	0	0	0	
0.348939	0.61784	0.736443	0.147785	0.0421245	0.886979	0.542888	0.434867	355.635	396.004	0	0	0	0	0	0	
0.21554	0.258115	0.576227	0.319933	0.166713	0.452074	0.481122	0.641604	1243.14	429.113	0	0	0	0	0	0	
0.746562	0.376952	0.260438	0.821721	0.391685	0.146887	0.801432	0.97412	1244.42	410.749	0	0	0	0	0	0	
0.991066	0.144722	0.297262	0.707207	0.544062	0.649089	0.843896	0.222695	435.041	391.778	0	0	0	0	0	0	
0.479273	0.966754	0.378534	0.0555243	0.96307	0.392628	0.595764	0.627879	90.0471	370.468	0	0	0	0	0	0	
0.339412	0.342124	0.632444	0.938638	0.140992	0.701232	0.176591	0.678651	4017.69	422.709	0	0	0	0	0	0	
0.978216	0.619938	0.335602	0.513813	0.961302	0.0311655	0.441148	0.334053	49.7652	426.665	0	0	0	0	0	0	
0.636176	0.778171	0.498756	0.902591	0.631665	0.883811	0.00236661	0.739969	1787.84	447.672	0	0	0	0	0	0	
0.292922	0.470931	0.00891605	0.544342	0.441843	0.634683	0.122639	0.232797	2217.16	339.834	0	0	0	0	0	0	
0.207662	0.999375	0.873763	0.513066	0.646558	0.999585	0.544127	0.11522	1676.5	391.36	0	0	0	0	0	0	
0.652085	0.855079	0.495473	0.88768	0.347236	0.577232	0.571981	0.432464	1729.81	450.498	0	0	0	0	0	0	
0.181539	0.255034	0.790894	0.709015	0.138474	0.257886	0.485302	0.768427	4222.75	382.442	0	0	0	0	0	0	
0.959577	0.537447	0.756664	0.799477	0.308367	0.338463	0.643639	0.147694	202.151	450.491	0	0	0	0	0	0	
0.959448	0.567117	0.000269718	0.502961	0.27164	0.474538	0.325389	0.326702	26.2508	326.307	0	0	0	0	0	0	
0.47289	0.323204	0.0476233	0.437808	0.441623	0.994768	0.543239	0.434814	230.831	385.212	0	0	0	0	0	0	
0.974307	0.330401	0.773824	0.808663	0.893636	0.0347211	0.216958	0.677336	228.009	412.336	0	0	0	0	0	0	
0.689302	0.554565	0.0460459	0.641289	0.100743	0.375729	0.91017	0.983549	1158.57	383.154	0	0	0	0	0	0	
0.634889	0.744524	0.0889894	0.204244	0.542072	0.206159	0.0634376	0.264581	63.5604	365.624	0	0	0	0	0	0	
0.290418	0.701368	0.924894	0.485665	0.649571	0.320516	0.529507	0.328073	1444.93	425.62	0	0	0	0	0	0	
0.624335	0.571829	0.464326	0.104228	0.141106	0.34601	0.767581	0.649392	52.2875	405.506	0	0	0	0	0	0	
0.477372	0.89119	0.382818	0.111115	0.0510967	0.61603	0.900132	0.749782	69.5977	395.957	0	0	0	0	0	0	
0.0940803	0.761109	0.154946	0.744511	0.0585073	0.263951	0.0990362	0.377122	4939.99	354.246	0	0	0	0	0	0	
0.978652	0.894975	0.419662	0.623194	0.0680154	0.561421	0.069395	0.12296	33.4283	436.127	0	0	0	0	0	0	
0.614219	0.605971	0.763233	0.675298	0.817267	0.0197772	0.681407	0.0243647	728.802	463.879	0	0	0	0	0	0	
0.0914608	0.064804	0.793654	0.765508	0.473977	0.547588	0.644389	0.470459	6350.57	358.18	0	0	0	0	0	0	
0.373829	0.480077	0.813884	0.357042	0.721211	0.688591	0.996195	0.0853322	347.019	431.883	0	0	0	0	0	0	
