#NSGA2
popsize 50
maxGen 200
numVar 8
numObj 3
numCons 8
stateFieldNames	currentGen	evaluateCount	totalTime	firstFrontCount	frontCount	avgEvalTime	
#end


#Generation 1 / 200
currentGen	1
evaluateCount	50
totalTime	14.8719
firstFrontCount	1
frontCount	50
avgEvalTime	0.295926
#end
Var1	Var2	Var3	Var4	Var5	Var6	Var7	Var8	Obj1	Obj2	Obj3	Cons1	Cons2	Cons3	Cons4	Cons5	Cons6	Cons7	Cons8	
0.718989	0.342885	0.431696	0.407555	0.848079	0.837072	0.650075	0.261116	106.468	3080.02	2.43355	0	0	0	0	0	0	0	0	
0.486339	0.161389	0.659788	0.580179	0.68996	0.417246	0.694216	0.49495	373.965	57.8371	2.39211	0	0	0	0	0	0	0	0	
0.961434	0.991256	0.250867	0.438404	0.681995	0.862774	0.237957	0.986986	76.5424	6721.45	2.38335	0	0	0	0	0	0	0	0	
0.130736	0.51458	0.427093	0.00888716	0.5512	0.044674	0.00478124	0.912965	31.5523	1639.55	2.38188	0	0	0	0	0	0	0	0	
0.60377	0.564078	0.687963	0.266824	0.864943	0.548093	0.525422	0.752661	87.2271	4584.88	2.37235	0	0	0	0	0	0	0	0	
0.815616	0.0620869	0.919571	0.0962481	0.941644	0.157828	0.830022	0.154783	173.096	7255.95	2.35059	0	0	0	0	0	0	0	0	
0.0639772	0.752922	0.930698	0.217938	0.490496	0.525199	0.246953	0.824332	840.398	803.677	2.43622	0	0	0	0	0	0	0	0	
0.236102	0.303756	0.448134	0.408706	0.947486	0.928659	0.811045	0.346326	337.96	6.14983	2.45038	0	0	0	0	0	0	0	0	
0.796642	0.158912	0.945	0.846381	0.635351	0.704435	0.872669	0.330903	675.972	59.8681	2.44931	0	0	0	0	0	0	0	0	
0.406783	0.386816	0.904228	0.627073	0.521758	0.222793	0.0511699	0.635029	299.063	26.1717	2.41842	0	0	0	0	0	0	0	0	
0.438857	0.945225	0.978169	0.622584	0.823661	0.0935098	0.0473821	0.810509	342.559	344.087	2.40705	0	0	0	0	0	0	0	0	
0.164462	0.191256	0.0257699	0.178552	0.525763	0.0433027	0.652912	0.619987	521.496	608.77	2.43987	0	0	0	0	0	0	0	0	
0.943271	0.954785	0.824449	0.850156	0.381708	0.276998	0.721881	0.00440942	21.3802	1697.54	2.4236	0	0	0	0	0	0	0	0	
